DataElementName,OriginalDataElementName,Category,Sector,Notes,Indicators,IsDisaggregate
Receipt of child care subsidies,Receipt of child care subsidies,Kindergarten Readiness,,,Access to child care subsidies; Enrollment in quality public pre-K,False
Receipt of federal rental assistance,Receipt of federal rental assistance,School Climate,,,Access to affordable housing,False
Repayment phase start date,Repayment phase start date,Postsecondary Success,,,Student loan repayment,False
Repayment status,Repayment status,Postsecondary Success,,,Student loan repayment,False
Reported intent to enroll in postsecondary education,Reported intent to enroll in postsecondary education,Postsecondary Transitions,,,Senior summer on track,False
Reported kindergarten readiness (behavioral skills),Results on teacher-reported kindergarten readiness assessment (self-regulation; approaches to learning; executive function); Results on teacher-reported kindergarten readiness assessment (self-regulation; approaches to learning; executive function) (PK),Kindergarten Readiness,PK,Teacher-reported kindergarten readiness assessments (self-regulation; approaches to learning; executive function),Kindergarten readiness: approaches to learning,False
Reported kindergarten readiness (language and literacy),Results on teacher-reported kindergarten readiness assessment (language and literacy); Results on teacher-reported kindergarten readiness assessment (language and literacy) (PK),Kindergarten Readiness,PK,Teacher-reported kindergarten readiness assessments (language and literacy),Kindergarten readiness: language and literacy,False
Reported kindergarten readiness (physical development),Results on teacher-reported kindergarten readiness assessment (physical development); Results on teacher-reported kindergarten readiness assessment (physical development) (PK),Kindergarten Readiness,PK,Teacher-reported kindergarten readiness assessments (physical development),"Kindergarten readiness: perceptual, motor, and physical development",False
Reported kindergarten readiness (social-emotional skills),Results on teacher-reported kindergarten readiness assessment (social-emotional development); Results on teacher-reported kindergarten readiness assessment (social-emotional development) (PK),Kindergarten Readiness,PK,Teacher-reported kindergarten readiness assessments (social-emotional development),Kindergarten readiness: social-emotional development,False
Restraint and seclusion for discipline (K-12),Disciplinary use of restraint and seclusion; Disciplinary use of restraint and seclusion (K12),School Climate,K-12,,Positive behavior,False
Restraint and seclusion for discipline (PK),Disciplinary use of restraint and seclusion (PK),School Climate,PK,,Positive behavior,False
Restraint and seclusion for safety (K-12),Restraint; Seclusion,School Climate,K-12,,Equitable discipline practices,False
Restraint and seclusion for safety (PK),Restraint (PK); Seclusion (PK),School Climate,PK,,Equitable discipline practices,False
SAT completion,SAT completion,Postsecondary Transitions,,,SAT and ACT participation and performance,False
SAT score,SAT score,Postsecondary Transitions,,,SAT and ACT participation and performance,False
School assignment (prior and current year),School assignment or school ID (prior and current year); School or program ID (prior and current year),Teaching Effectiveness,,,Educator retention,False
School value-added,School value-added,School Climate,,,Institutions' contributions to student outcomes,False
Self-efficacy surveys (K-12),Self-efficacy survey results (K-12),Social-Emotional Learning,K-12,,Self-efficacy,False
Self-efficacy surveys (Postsecondary),Self-efficacy survey results (Postsecondary),Postsecondary Success,Postsecondary,,Self-efficacy,False
Self-efficacy surveys (Workforce),Self-efficacy survey results (Workforce),Workforce Success,Workforce,,Self-efficacy,False
Self-management surveys (K-12),Results on self-management survey (K-12); Social awareness survey results (K-12),Social-Emotional Learning,K-12,,Self-management; Social awareness,False
Self-management surveys (Postsecondary),Self-management survey results (Postsecondary),Postsecondary Success,Postsecondary,,Self-management,False
Self-management surveys (Workforce),Self-management survey results (Workforce),Workforce Success,Workforce,,Self-management,False
Sense of belonging surveys,Results on workplace sense of belonging survey,Workforce Success,,,Inclusive environments,False
Sense of belonging surveys (K-12),Results on K-12 sense of belonging survey,Social-Emotional Learning,K-12,,Inclusive environments,False
Sense of belonging surveys (PK),Results on Pre-K sense of belonging questionnaire,Kindergarten Readiness,PK,,Inclusive environments,False
Sense of belonging surveys (Postsecondary),Results on campus sense of belonging survey,Postsecondary Success,Postsecondary,,Inclusive environments,False
SGP for standardized assessments,"SGP for standardized assessments (subject specific for reading/literacy, math, and science)",Postsecondary Transitions,,Subject specific for reading/literacy; math; and science,Teachers' contributions to student learning growth,False
SNAP eligibility,SNAP eligibility,School Climate,,,Food Security,False
SNAP participation,SNAP participation,School Climate,,,Food Security,False
Social awareness teacher ratings,Results on social awareness teacher rating,Social-Emotional Learning,,,Social awareness,False
Social capital surveys (K-12),Social capital survey results (K-12),Social-Emotional Learning,K-12,,Social capital,False
Social capital surveys (Postsecondary),Social capital survey results (Postsecondary),Postsecondary Success,Postsecondary,,Social capital,False
Social capital surveys (Workforce),Social capital survey results (Workforce),Workforce Success,Workforce,,Social capital,False
Social proficiency performance assessments (Postsecondary),Social proficiency performance assessment results (Postsecondary),Postsecondary Success,Postsecondary,,Social awareness,False
Social proficiency performance assessments (Workforce),Social proficiency performance assessment results (Workforce),Workforce Success,Workforce,,Social awareness,False
Social services offered,Social services offered,School Climate,,,"Access to health, mental health, and social supports",False
Sociocultural observational assessments,Results on sociocultural observational assessment,Social-Emotional Learning,,,Inclusive environments,False
Staff FTE status,Staff FTE status,Teaching Effectiveness,,,"Access to college and career advising; Access to health, mental health, and social supports; Teacher credentials",False
Staff race/ethnicity,Staff race/ethnicity,Teaching Effectiveness,,,Representational racial and ethnic diversity of educators,False
State standardized test (Math proficiency),Math proficiency on state standardized test (Grade 3); Math proficiency on state standardized test (Grade 8); Math proficiency on state standardized test (Grades 9-12),Postsecondary Transitions,K-12,,Math and reading proficiency in grade 3; Math and reading proficiency in grade 8; Math and reading proficiency in high school,False
State standardized test (Reading proficiency),Reading proficiency on state standardized test (Grade 3); Reading proficiency on state standardized test (Grade 8); Reading proficiency on state standardized test (Grades 9-12),Postsecondary Transitions,K-12,,Math and reading proficiency in grade 3; Math and reading proficiency in grade 8; Math and reading proficiency in high school,False
Student attendance rate (K-12),Student attendance rate (Grade 1 & 2); Student attendance rate (Grade 6); Student attendance rate (Grade 8); Student attendance rate (Grade 9); Student attendance rate (Grades 1 & 2),School Climate,K-12,,6th grade on track; 8th grade on track; 9th grade on track; Early grades on track,False
Student attendance rate (PK),Attendance intensity; Student attendance rate,School Climate,PK,,Consistent attendance,True
Student course enrollment record,"AP enrollment; Algebra 1 enrollment; CTE course enrollment; Dual credit enrollment; Early college course enrollment (AP, IB, and dual enrollment); Higher-level math enrollment; IB enrollment",Postsecondary Transitions,,,Access to early college coursework; CTE pathway concentration; Early college coursework completion; Equitable placement in rigorous coursework; Industry-recognized credential,False
Student from migrant family household,Student from migrant family household,School Climate,,,,True
Student FTE status,Student FTE status,School Climate,,,Expenditures per student,False
Student grade level,7th grade student status; 8th grade student status,Postsecondary Transitions,,,Successful completion of Algebra 1 by 9th grade,False
Student grade level (K-12),Student grade level (Grade 6); Student grade level (Grade 8); Student grade level (Grades 1 & 2); Student grade level or year,Postsecondary Transitions,K-12,,6th grade on track; Early grades on track; Math and reading proficiency in grade 8; Participation in work-based learning,False
Student grade level (PK),Student grade level,School Climate,PK,,6th grade on track; 8th grade on track; 9th grade on track; College applications; CTE pathway concentration; Early grades on track; FAFSA completion; Grade point average (MS+HS); Industry-recognized credential; Math and reading proficiency in grade 3; Math and reading proficiency in grade 8; Math and reading proficiency in high school; Participation in work-based learning; SAT and ACT participation and performance; Successful completion of Algebra 1 by 9th grade,False
Student or family socioeconomic status,Student or family socioeconomic status,School Climate,,,School and workplace socioeconomic diversity,False
Student parenting status,Student parenting status,School Climate,,,,True
Student race/ethnicity,Race/ethnicity; Student race/ethnicity,School Climate,,,Neighborhood racial diversity; Representational racial and ethnic diversity of educators; School and workplace racial and ethnic diversity,False
Student socioeconomic status,Student socioeconomic status,School Climate,,,School and workplace socioeconomic diversity,False
Subscale observation scores,Subscale observation scores,Teaching Effectiveness,,,Classroom observations of instructional practice,False
Suspensions and expulsions (K-12),Expulsion; Expulsions; Expulsions (Grade 6); Expulsions (Grade 8); Expulsions (K12); In school suspension; In school suspension (Grade 1 & 2); In school suspension (K12); In school suspension (Grades 1 & 2); Out of school suspension; Out of school suspension (K12); Out of school suspension (Grades 1 & 2); Suspension (Grade 6); Suspension (Grade 8); Suspension (Grade 9); Suspensions,School Climate,K-12,,6th grade on track; 8th grade on track; 9th grade on track; Early grades on track; Equitable discipline practices; Positive behavior,False
Suspensions and expulsions (PK),Expulsion (PK); Expulsions (PK); In school suspension (PK); Out of school suspension (PK); Suspensions (PK),School Climate,PK,,Equitable discipline practices; Positive behavior,False
Teacher effectiveness student surveys (K-12),Results on teacher effectiveness student survey,Teaching Effectiveness,K-12,,Student perceptions of teaching,False
Teacher effectiveness student surveys (Postsecondary),Results on instructor effectiveness student survey,Teaching Effectiveness,Postsecondary,,Student perceptions of teaching,False
Teacher qualification or certification type,Teacher qualification or certification type,Teaching Effectiveness,,,Teacher credentials,False
