Path,DataModelId,TermId,GlobalId
Early Learning -> Early Learning Child -> Enrollment -> Enrollment Entry Date,70620,26097,000097
Early Learning -> Early Learning Child -> Enrollment -> Enrollment Exit Date,70621,26107,000107
Early Learning -> Early Learning Organization -> Finance -> Financial Account Category,75792,27312,001345
Early Learning -> Early Learning Organization -> Finance -> Financial Accounting Period Actual Value,75803,27317,001350
Early Learning -> Early Learning Organization -> Finance -> Financial Expenditure Level of Instruction Code,75807,27531,001555
Early Learning -> Early Learning Organization -> Finance -> Financial Expenditure Project Reporting Code,75809,27532,001556
Early Learning -> Early Learning Organization -> Finance -> Fiscal Period Begin Date,75810,27623,001642
Early Learning -> Early Learning Organization -> Finance -> Fiscal Period End Date,75811,27624,001643
K12 -> K12 School -> Finance -> Financial Account Category,73163,27312,001345
K12 -> K12 School -> Finance -> Financial Accounting Period Actual Value,73187,27317,001350
K12 -> K12 School -> Finance -> Financial Expenditure Level of Instruction Code,73846,27531,001555
K12 -> K12 School -> Finance -> Financial Expenditure Project Reporting Code,73850,27532,001556
K12 -> K12 School -> Finance -> Fiscal Period Begin Date,74315,27623,001642
K12 -> K12 School -> Finance -> Fiscal Period End Date,74319,27624,001643
