"Global ID","Data Model ID","Element Name"
"001628",74109,"Training and Technical Assistance Level"
"000722",73349,"Address Type for Staff"
"000269",73348,"Address Street Number and Name"
"000019",73344,"Address Apartment Room or Suite Number"
"000040",73345,"Address City"
"000267",73346,"State Abbreviation"
"000214",73347,"Address Postal Code"
"000219",73326,"Primary Telephone Number Indicator"
"000280",73448,"Telephone Number Type"
"000279",73446,"Telephone Number"
"001209",75289,"County ANSI Code"
"001928",75290,"Do Not Publish Indicator"
"001927",75291,"Telephone Number Listed Status"
"000809",72256,"Professional Development Activity Identifier"
"000810",73340,"Professional Development Activity Title"
"001442",73341,"Professional Development Activity Type"
"001438",73337,"Professional Development Activity Description"
